id_norma,tipo_norma,organismo_origen,fecha_sancion,texto_original
385683,Resolución,SECRETARIA DE TRABAJO,2023-05-16,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385683/norma.htm
385701,Resolución,SECRETARIA DE TRABAJO,2023-05-15,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385701/norma.htm
385702,Resolución,SECRETARIA DE TRABAJO,2023-05-15,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385702/norma.htm
385700,Resolución,SECRETARIA DE TRABAJO,2023-05-12,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385700/norma.htm
385596,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385596/norma.htm
385694,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385694/norma.htm
385692,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385692/norma.htm
385698,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385698/norma.htm
385699,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385699/norma.htm
385602,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385602/norma.htm
385599,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385599/norma.htm
385840,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385840/norma.htm
385688,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385688/norma.htm
385900,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385900/norma.htm
385605,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385605/norma.htm
385604,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385604/norma.htm
385687,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385687/norma.htm
